@relation weka_TrainingData_driverHabit_park_df_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
294,66.599998,0,-6.054545,-8.999996,100.249997,12,cluster0
295,63,51.3,-3.9,-8.100003,62.999999,4,cluster6
296,40.5,25.199999,-7.650001,-8.100002,27.249999,3,cluster2
297,43.199997,27.9,-5.099999,-8.100002,39.999998,4,cluster4
298,56.699997,0,-4.361538,-8.100002,122.499996,14,cluster0
299,34.200001,21.599998,-3.150001,-8.100002,35.499999,5,cluster4
300,45,36.899998,-8.100002,-8.100002,22.749999,2,cluster2
301,47.699997,26.099998,-4.32,-8.100002,64.249997,6,cluster4
302,42.3,27,-4.275,-8.100002,39.499999,5,cluster4
303,47.699997,27,-4.139999,-8.100002,61.999999,6,cluster4
304,40.5,20.699999,-3.96,-8.100002,46.249999,6,cluster4
305,57.6,29.699999,-3.4875,-8.100002,115.749997,9,cluster6
306,46.8,15.299999,-2.863636,-8.100002,100.499999,12,cluster0
307,48.6,15.299999,-2.775,-8.100002,126.749998,13,cluster0
308,24.3,12.599999,-5.850001,-8.100001,14.749999,3,cluster4
309,43.199997,0,-5.4,-8.100001,55.749998,9,cluster0
310,63.899998,0,-4.915384,-8.100001,133.749998,14,cluster0
311,58.5,9.9,-4.86,-8.100001,110.249999,11,cluster0
312,39.6,9,-4.371429,-8.100001,61.749999,8,cluster4
313,39.6,27,-4.2,-8.100001,37.25,4,cluster4
314,24.3,4.5,-3.96,-8.100001,20.5,6,cluster4
315,35.1,16.199999,-3.78,-8.100001,42.249999,6,cluster4
316,64.799995,5.4,-3.7125,-8.100001,183.249994,17,cluster0
317,44.1,0.9,-3.6,-8.100001,68.999998,13,cluster0
318,29.699999,6.3,-3.342857,-8.100001,37.499999,8,cluster4
319,32.399998,0,-2.7,-8.100001,67.249998,13,cluster0
320,52.199997,0,-4.015384,-8.1,112.499997,14,cluster0
321,21.599998,0,-4.32,-8.1,12.499999,6,cluster4
322,33.299999,25.199999,-8.1,-8.1,16.249999,2,cluster2
323,42.299999,11.7,-5.1,-8.1,52.25,7,cluster4
324,60.299999,0,-5.025,-8.1,100.749998,13,cluster0
325,53.099998,0,-4.827273,-8.1,71.499997,12,cluster0
326,27,0,-4.5,-8.1,34.249999,7,cluster4
327,33.299999,19.799999,-4.5,-8.1,30.749999,4,cluster4
328,18,9,-4.5,-8.1,12.25,3,cluster5
329,45.899998,0.9,-4.5,-8.1,81.499996,11,cluster0
330,56.699997,0,-4.05,-8.1,135.249995,15,cluster0
331,22.5,10.799999,-3.9,-8.1,16.5,4,cluster4
332,31.5,0,-3.5,-8.1,34.749999,10,cluster4
333,47.699997,14.4,-3.027272,-8.1,112.999997,12,cluster0
334,27,6.3,-6.9,-8.1,19.5,4,cluster4
335,9,0,-4.5,-8.1,2.75,3,cluster5
336,88.2,80.1,-8.1,-8.1,46.75,2,cluster2
337,65.7,57.6,-8.1,-8.1,34.25,2,cluster2
338,16.199999,1.8,-7.199999,-8.1,7.249999,3,cluster5
339,39.6,19.8,-6.6,-8.1,32.499999,4,cluster4
340,22.5,0,-5.625,-8.1,15.75,5,cluster4
341,60.3,0,-5.481818,-8.1,106,12,cluster0
342,16.2,0,-5.4,-8.1,7,4,cluster5
343,30.599998,9,-5.399999,-8.1,27.999999,5,cluster4
344,54,7.2,-5.2,-8.1,75.75,10,cluster0
345,22.5,1.8,-5.175,-8.1,18.249999,5,cluster4
346,27.9,12.599999,-5.1,-8.1,21.5,4,cluster4
347,36.899998,22.5,-4.799999,-8.1,31.749999,4,cluster4
348,62.1,0,-4.776923,-8.1,133.749997,14,cluster0
349,23.4,0,-4.68,-8.1,17.249999,6,cluster4
350,22.5,0,-4.5,-8.1,20.499999,6,cluster4
351,51.3,24.3,-4.5,-8.1,71.999998,7,cluster4
352,52.2,0,-4.35,-8.1,102,13,cluster0
353,29.699999,0,-4.242857,-8.1,34.749999,8,cluster4
354,59.399998,0,-4.242857,-8.1,131.499999,15,cluster0
355,22.5,9.9,-4.2,-8.1,19.999999,4,cluster4
356,19.8,7.2,-4.2,-8.1,14.75,4,cluster5
357,41.4,0,-4.14,-8.1,73.75,11,cluster0
358,39.6,8.099999,-3.9375,-8.1,63.25,9,cluster0
359,50.399998,0,-3.876923,-8.1,93.249998,14,cluster0
360,57.6,0,-3.84,-8.1,144.499997,16,cluster0
361,45.9,0,-3.825,-8.1,73,13,cluster0
362,36.899998,7.2,-3.7125,-8.1,54.749998,9,cluster4
363,36.899998,0,-3.69,-8.1,50.749999,11,cluster0
364,44.1,29.699999,-3.6,-8.1,47.749999,5,cluster4
365,26.099998,8.099999,-3.6,-8.1,27.999999,6,cluster4
366,10.799999,0,-3.6,-8.1,5.75,4,cluster5
367,63.899998,1.8,-3.45,-8.1,196.999995,19,cluster0
368,81,23.4,-3.388235,-8.1,274.25,18,cluster6
369,13.5,0,-3.375,-8.1,11.5,5,cluster5
370,25.199999,11.7,-3.375,-8.1,27.749999,5,cluster4
371,42.3,9.9,-3.24,-8.1,92.499998,11,cluster0
372,43.199997,30.599998,-3.15,-8.1,50.499999,5,cluster4
373,37.8,0,-2.907692,-8.1,73.999999,14,cluster0
374,40.5,9,-1.75,-8.1,150.749998,19,cluster0
375,24.299999,0,-4.05,-8.1,24.999999,7,cluster4
376,17.1,4.5,-2.52,-8.1,20.499999,6,cluster4
377,13.5,0,-2.7,-8.1,13.75,6,cluster5
378,50.399998,1.8,-5.4,-8.099999,71.999998,10,cluster0
379,24.299999,4.5,-4.95,-8.099999,21.999999,5,cluster4
380,9,0,-4.5,-8.099999,4.75,3,cluster5
381,9.9,0,-3.3,-8.099999,7.5,4,cluster5
382,8.099999,0,-8.099999,-8.099999,2.25,2,cluster5
383,12.599999,0,-6.3,-8.099999,5.749999,3,cluster5
384,9.9,0,-4.95,-8.099999,5,3,cluster5
385,22.5,0,-4.5,-8.099999,14.25,6,cluster4
386,16.199999,7.2,-4.5,-8.099999,10.749999,3,cluster5
387,14.4,0,-3.6,-8.099999,13.499999,5,cluster5
388,17.1,0,-3.42,-8.099999,18.499999,6,cluster4
389,30.599998,10.799999,-3.3,-8.099999,38.499999,7,cluster4
390,11.7,0,-2.925,-8.099999,11.249999,5,cluster5
