@relation weka_test_park_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
122,35.1,0,-5.85,-8.999999,31,7,25.4,cluster3
123,21.599998,11.7,-4.949999,-8.999999,14.999999,3,14.111111,cluster4
124,63,0,-4.2,-8.999999,153.999999,16,12.211538,cluster0
125,26.099998,17.1,-8.999998,-8.999998,11.999999,2,18.676471,cluster4
126,40.5,24.3,-4.05,-8.999998,42.999999,5,26.458333,cluster3
127,43.199997,27.9,-5.099999,-8.100002,39.999998,4,8.355263,cluster1
128,56.699997,32.399998,-4.86,-8.100002,79.249999,6,30.238095,cluster3
129,40.5,20.699999,-3.96,-8.100002,46.249999,6,7.9375,cluster1
130,48.6,15.299999,-2.775,-8.100002,126.749998,13,17.162162,cluster0
131,43.199997,0,-5.4,-8.100001,55.749998,9,13.229167,cluster4
132,58.5,9.9,-4.86,-8.100001,110.249999,11,8.141026,cluster0
133,35.1,16.199999,-3.78,-8.100001,42.249999,6,9.921875,cluster4
134,40.5,19.8,-3.45,-8.100001,59.499999,7,21.896552,cluster3
135,19.8,5.4,-7.2,-8.1,10.75,3,10.241935,cluster4
136,43.246849,20.124611,-4.624448,-6.960579,51.657108,6,20.483871,cluster3
137,81,35.1,-2.412,-6.300005,364.249993,26,31.75,cluster6
138,67.5,51.299999,-4.05,-6.300003,80.999999,5,8.466667,cluster1
139,45.899998,0,-3.825,-6.300003,90.249997,13,9.769231,cluster0
140,69.299995,38.700001,-3.824999,-6.300003,141.749997,9,11.981132,cluster1
141,41.399998,20.699999,-2.957143,-6.300003,65.749998,8,11.140351,cluster1
142,63,56.699997,-6.300003,-6.300003,33.249999,2,27.608696,cluster5
143,49.5,43.199997,-6.300003,-6.300003,25.749999,2,12.7,cluster1
144,22.5,1.8,-5.175,-8.1,18.249999,5,7.470588,cluster4
145,53.1,23.4,-4.95,-8.1,79.749999,7,8.819444,cluster1
146,51.3,24.3,-4.5,-8.1,71.999998,7,7.650602,cluster1
147,57.6,23.4,-4.275,-8.1,90.999999,9,24.423077,cluster3
148,29.699999,0,-4.242857,-8.1,29.749999,8,13.510638,cluster4
149,41.4,0,-4.14,-8.1,73.75,11,33.421053,cluster3
150,57.6,0,-3.84,-8.1,144.499997,16,16.710526,cluster0
151,36.899998,0,-3.69,-8.1,42.999999,11,14.767442,cluster4
152,18.9,4.5,-3.6,-8.1,19.5,5,11.759259,cluster4
153,63.899998,1.8,-3.45,-8.1,196.999995,19,9.477612,cluster0
154,27.9,11.7,-3.24,-8.1,35.75,6,8.69863,cluster4
155,19.8,4.5,-2.55,-8.1,18,7,16.710526,cluster4
156,39.6,19.8,-6.6,-8.1,32.499999,4,7.383721,cluster4
157,24.299999,0,-4.05,-8.1,24.999999,7,9.071429,cluster4
158,49.5,0,-3.3,-8.099999,133.999997,16,17.162162,cluster0
159,9,0,-4.5,-8.099999,4.75,3,13.229167,cluster4
160,8.099999,0,-8.099999,-8.099999,2.25,2,8.141026,cluster4
161,16.199999,4.5,-3.9,-8.099999,13.499999,4,9.921875,cluster4
162,14.4,2.7,-2.925,-8.099999,13.25,5,21.896552,cluster3
163,47.699997,0,-2.65,-8.099999,153.749997,19,10.241935,cluster0
164,35.099998,21.599998,-4.5,-8.099998,29.499999,4,20.483871,cluster3
165,69.299995,61.199997,-8.099998,-8.099998,36.249998,2,31.75,cluster5
166,56.699997,0,-4.05,-8.099998,118.999999,15,8.466667,cluster0
167,41.399998,0,-5.175,-7.200002,55.499999,9,9.769231,cluster4
168,71.1,62.1,-4.5,-7.200002,54.749999,3,11.981132,cluster1
169,48.6,0,-4.05,-7.200002,78.749998,13,11.140351,cluster0
170,61.199997,1.8,-3.221052,-7.200002,191.499995,20,27.608696,cluster0
171,43.199997,0,-2.7,-7.200002,99.749997,17,12.7,cluster0
172,60.3,0,-5.025,-7.200001,114.499999,13,7.470588,cluster0
173,37.8,0,-3.78,-7.200001,64.249998,11,8.819444,cluster0
174,68.4,8.099999,-3.257143,-7.200001,229.999999,22,7.650602,cluster0
