@relation weka_TestData_driverHabit_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
164,36,8.099999,-2.79,-9.900001,76.749998,11,cluster3
165,45.899998,0,-5.1,-9.900001,59.999998,10,cluster3
166,9.9,0,-9.9,-9.9,2.75,2,cluster2
167,63,1.8,-6.8,-9.9,97.499998,10,cluster3
168,30.599998,10.799999,-6.6,-9.9,22.249999,4,cluster2
169,37.8,0,-6.3,-9.9,38,7,cluster3
170,45,4.5,-5.785714,-9.9,47.5,8,cluster3
171,43.199997,0,-5.4,-9.9,54.499999,9,cluster3
172,20.699999,9.9,-5.399999,-9.9,11.499999,3,cluster0
173,10.799999,0,-5.399999,-9.9,5.75,3,cluster0
174,31.5,10.799999,-5.175,-9.9,27.75,5,cluster3
175,49.5,9,-5.0625,-9.9,76.999998,9,cluster3
176,63.9,0,-4.915385,-9.9,119.75,14,cluster3
177,68.4,0,-4.885714,-9.9,168.749996,15,cluster3
178,43.199997,20.699999,-4.5,-9.9,54.249999,6,cluster3
179,56.7,9,-4.336364,-9.9,102,12,cluster3
180,15.299999,0,-3.825,-9.9,14.75,5,cluster0
181,55.8,0,-3.4875,-9.9,131.249998,17,cluster3
182,41.399998,3.6,-3.436363,-9.9,73.249999,12,cluster3
183,62.1,1.8,-3.105,-9.9,171.499997,21,cluster3
184,33.299999,0,-5.55,-9.9,25.249999,7,cluster3
185,69.299995,3.6,-3.647368,-9.9,234.499993,20,cluster3
186,48.6,0,-5.4,-9.899999,58.999999,10,cluster3
187,67.5,0,-4.821429,-9.899998,150.999997,15,cluster3
188,38.7,16.199999,-2.8125,-9.899998,75.749999,9,cluster3
189,38.700001,20.699999,-6.000001,-9.899998,31.749999,4,cluster3
190,73.799995,59.399998,-4.799999,-9.899998,71.999997,4,cluster3
191,9.831779,0,-9.831779,-9.831779,2.73105,2,cluster2
192,10.111436,0,-5.055718,-9.699784,5.503117,3,cluster0
193,52.019093,24.674793,-2.103408,-9.61125,140.739774,14,cluster3
194,66.51279,0,-4.750914,-9.522142,138.88949,15,cluster3
195,31.774822,22.362913,-9.411909,-9.411909,15.03826,2,cluster2
196,22.561317,10.227487,-6.166915,-9.184456,12.823796,3,cluster0
197,60.14342,51.049175,-9.094245,-9.094245,30.886832,2,cluster2
198,48.201466,21.436512,-4.460826,-9.080208,74.162068,7,cluster3
199,44.60516,28.589994,-3.203033,-9.03897,65.478134,6,cluster3
200,63.738285,16.48811,-4.29547,-9.028339,136.321226,12,cluster3
201,51.3,0,-5.13,-9.000001,82.749999,11,cluster3
202,40.5,21.599998,-4.725001,-9.000001,39.999999,5,cluster3
203,63,10.799999,-4.015385,-9.000001,144.999998,14,cluster3
204,46.8,0,-3.6,-9.000001,97.249999,14,cluster3
205,50.399998,0,-3.36,-9.000001,120.249998,16,cluster3
206,56.699997,17.1,-2.413636,-9.000001,241.999994,23,cluster3
207,26.099998,0,-3.728571,-9.000001,24.499999,8,cluster3
208,15.299999,0,-3.825,-9,10,5,cluster0
209,77.4,68.4,-9,-9,40.5,2,cluster2
210,33.299999,24.299999,-9,-9,16,2,cluster2
211,40.5,16.199999,-8.1,-9,31.499999,4,cluster2
212,76.5,0,-5.884615,-9,153.75,14,cluster3
213,54,42.3,-5.85,-9,39.25,3,cluster3
214,33.3,6.3,-5.4,-9,31.999999,6,cluster3
215,54,0,-5.4,-9,96.999998,11,cluster3
216,36,0,-5.142857,-9,43.499999,8,cluster3
217,9.9,0,-4.95,-9,5.25,3,cluster0
218,44.099998,0,-4.9,-9,59.999997,10,cluster3
219,64.799995,0,-4.628571,-9,151.749996,15,cluster3
220,63.899998,0,-4.564286,-9,163.749998,15,cluster3
221,63,0,-4.5,-9,163.999998,15,cluster3
222,41.399998,0.9,-4.5,-9,50.499999,10,cluster3
223,24.3,2.7,-4.32,-9,24.5,6,cluster3
224,29.699999,8.099999,-4.32,-9,31.499999,6,cluster3
225,81.9,64.799995,-4.275001,-9,98.499999,5,cluster3
226,44.099998,14.4,-4.242857,-9,58.249999,8,cluster3
227,20.7,0,-4.14,-9,21,6,cluster0
228,60.3,36,-4.05,-9,87.999997,7,cluster3
229,19.8,0,-3.96,-9,18.999999,6,cluster0
230,38.7,7.2,-3.9375,-9,66.749999,9,cluster3
231,72.9,3.6,-3.85,-9,232.249996,19,cluster3
232,54,38.7,-3.825,-9,66.249999,5,cluster3
233,62.1,0,-3.652941,-9,197.249997,18,cluster3
234,45.899998,2.7,-3.6,-9,101.999996,13,cluster3
235,10.799999,0,-3.6,-9,8.25,4,cluster0
236,27.9,0,-3.4875,-9,26.999999,9,cluster3
237,29.699999,6.3,-3.342857,-9,42.999999,8,cluster3
238,55.8,0,-3.282353,-9,135.499997,18,cluster3
239,42.3,0,-3.253846,-9,108.249998,14,cluster3
240,25.199999,6.3,-3.15,-9,23.999999,7,cluster3
241,12.599999,0,-3.15,-9,12,5,cluster0
242,70.199997,38.700001,-2.863636,-9,191.249996,12,cluster3
243,23.4,7.2,-2.7,-9,28.499999,7,cluster3
244,14.4,0,-4.8,-8.999999,7.5,4,cluster0
245,12.599999,0,-6.3,-8.999999,4.5,3,cluster0
246,18,1.8,-5.4,-8.999999,10,4,cluster0
247,45.899998,7.2,-4.8375,-8.999999,67.749998,9,cluster3
248,13.5,0,-4.5,-8.999999,8.25,4,cluster0
249,13.5,0,-3.375,-8.999999,10.749999,5,cluster0
250,32.399998,23.4,-8.999998,-8.999998,15.499999,2,cluster2
