@relation weka_TrainingData_CerData_include_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
270,34.200001,5.4,-3.6,-9.899999,54.499999,9,cluster6
271,10.799999,0.9,-9.899999,-9.899999,3.25,2,cluster1
272,48.6,0,-5.4,-9.899999,58.999999,10,cluster6
273,49.5,12.599999,-5.271429,-9.899998,75.249998,8,cluster6
274,54.899998,28.8,-5.22,-9.899998,67.499999,6,cluster0
275,46.8,9,-3.78,-9.899998,98.749997,11,cluster0
276,38.700001,20.699999,-6.000001,-9.899998,31.749999,4,cluster6
277,52.199997,36,-5.399999,-9.899998,46.499998,4,cluster6
278,73.799995,59.399998,-4.799999,-9.899998,71.999997,4,cluster0
279,9.831779,0,-9.831779,-9.831779,2.73105,2,cluster1
280,10.111436,0,-5.055718,-9.699784,5.503117,3,cluster5
281,45.53665,35.879997,-9.656653,-9.656653,22.615735,2,cluster1
282,43.97848,23.537228,-4.08825,-9.576235,58.206213,6,cluster6
283,66.51279,0,-4.750914,-9.522142,138.88949,15,cluster0
284,11.690152,0,-1.670022,-9.397944,20.181049,8,cluster5
285,47.29868,23.936226,-4.672491,-9.370847,65.76739,6,cluster6
286,29.080652,8.277904,-4.16055,-9.275849,34.679109,6,cluster6
287,22.561317,10.227487,-6.166915,-9.184456,12.823796,3,cluster5
288,94.113754,75.63709,-4.619166,-9.17896,115.960401,5,cluster0
289,60.14342,51.049175,-9.094245,-9.094245,30.886832,2,cluster1
290,63.738285,16.48811,-4.29547,-9.028339,136.321226,12,cluster0
291,20.97437,0.184531,-2.59873,-9.008992,15.022803,9,cluster6
292,46.8,19.8,-5.4,-9.000002,59.499999,6,cluster6
293,38.7,0,-5.528571,-9.000001,43.249999,8,cluster6
294,40.5,21.599998,-4.725001,-9.000001,39.999999,5,cluster6
295,34.2,17.1,-4.275,-9.000001,31.999999,5,cluster6
296,63,10.799999,-4.015385,-9.000001,144.999998,14,cluster0
297,46.8,0,-3.6,-9.000001,97.249999,14,cluster0
298,27.9,0,-3.1,-9,46.749999,10,cluster6
299,77.4,68.4,-9,-9,40.5,2,cluster0
300,46.799999,37.799999,-9,-9,23.5,2,cluster1
301,33.299999,24.299999,-9,-9,16,2,cluster1
302,40.5,16.199999,-8.1,-9,31.499999,4,cluster1
303,50.399998,9.9,-6.75,-9,62.249999,7,cluster6
304,63.899998,0,-6.39,-9,103.499998,11,cluster0
305,76.5,0,-5.884615,-9,153.75,14,cluster0
306,25.199999,13.5,-5.85,-9,15.249999,3,cluster6
307,33.3,6.3,-5.4,-9,31.999999,6,cluster6
308,54,0,-5.4,-9,96.999998,11,cluster0
309,61.199997,28.8,-5.399999,-9,87.999999,7,cluster0
310,36,0,-5.142857,-9,43.499999,8,cluster6
311,9.9,0,-4.95,-9,3,3,cluster5
312,9.9,0,-4.95,-9,5.25,3,cluster5
313,44.099998,0,-4.9,-9,59.999997,10,cluster6
314,36,11.7,-4.86,-9,43,6,cluster6
315,14.4,0,-4.8,-9,9.5,4,cluster5
316,45,17.1,-4.65,-9,61.249998,7,cluster6
317,64.799995,0,-4.628571,-9,151.749996,15,cluster0
318,41.399998,0.9,-4.5,-9,50.499999,10,cluster6
319,24.3,2.7,-4.32,-9,24.5,6,cluster6
320,29.699999,8.099999,-4.32,-9,31.499999,6,cluster6
321,45,15.299999,-4.242857,-9,62.249997,8,cluster6
322,44.099998,14.4,-4.242857,-9,58.249999,8,cluster6
323,12.599999,0,-4.2,-9,9.25,4,cluster5
324,39.6,23.4,-4.05,-9,40.5,5,cluster6
325,44.1,11.7,-4.05,-9,64.249999,9,cluster6
326,42.3,9.9,-4.05,-9,68.749999,9,cluster6
327,34.2,1.8,-4.05,-9,41.249999,9,cluster6
328,32.399998,0,-4.05,-9,45.999998,9,cluster6
329,19.8,0,-3.96,-9,18.999999,6,cluster5
330,62.099998,2.7,-3.96,-9,162.749996,16,cluster0
331,29.699999,9.9,-3.96,-9,27.499999,6,cluster6
332,38.7,7.2,-3.9375,-9,66.749999,9,cluster6
333,50.399998,5.4,-3.75,-9,104.499996,13,cluster0
334,33.3,0,-3.7,-9,39.499999,10,cluster6
335,62.1,0,-3.652941,-9,197.249997,18,cluster0
336,45.899998,2.7,-3.6,-9,101.999996,13,cluster0
337,10.799999,0,-3.6,-9,8.25,4,cluster5
338,35.099998,0,-3.51,-9,50.999998,11,cluster6
339,55.8,0,-3.282353,-9,135.499997,18,cluster0
340,54.899998,0,-3.05,-9,156.499997,19,cluster0
341,70.199997,38.700001,-2.863636,-9,191.249996,12,cluster0
342,50.399998,30.599998,-2.828571,-9,92.249998,8,cluster0
343,36.899998,14.4,-2.8125,-9,76.749999,9,cluster6
344,52.199997,27,-2.8,-9,99.249998,10,cluster0
345,32.399998,0,-4.05,-8.999999,45.499998,9,cluster6
346,27.9,0,-3.4875,-8.999999,41.249999,9,cluster6
347,14.4,0,-4.8,-8.999999,7.5,4,cluster5
348,14.4,0,-2.88,-8.999999,14.75,6,cluster5
349,35.1,0,-5.85,-8.999999,31,7,cluster6
350,18,1.8,-5.4,-8.999999,10,4,cluster5
351,21.599998,0,-5.399999,-8.999999,11.499999,5,cluster5
352,48.6,7.2,-5.175,-8.999999,79.499999,9,cluster6
353,21.599998,11.7,-4.949999,-8.999999,14.999999,3,cluster5
354,55.8,0,-4.65,-8.999999,106.499997,13,cluster0
355,13.5,0,-4.5,-8.999999,8.25,4,cluster5
356,16.199999,0.9,-3.825,-8.999999,13.499999,5,cluster5
357,13.5,0,-3.375,-8.999999,10.749999,5,cluster5
358,18.9,0,-3.15,-8.999999,13.5,7,cluster5
359,44.1,0,-1.8,-8.999999,114.499996,3,cluster0
360,32.399998,23.4,-8.999998,-8.999998,15.499999,2,cluster1
361,53.1,0,-4.827273,-8.999998,87.749999,12,cluster0
362,38.7,0,-4.3,-8.999998,63.999999,10,cluster6
363,40.5,24.3,-4.05,-8.999998,42.999999,5,cluster6
364,51.3,0,-5.13,-8.999997,72.249999,11,cluster0
365,90.82882,70.46944,-3.39323,-8.684334,164.881582,7,cluster0
366,48.911915,28.106209,-3.467618,-8.647331,79.498612,7,cluster6
367,8.646634,0,-8.646634,-8.646634,2.401843,2,cluster5
368,8.496374,0,-8.496374,-8.496374,2.360104,2,cluster5
369,39.86469,28.752266,-5.556212,-8.285905,27.83215,3,cluster6
370,8.273135,0,-8.273135,-8.273135,2.298093,2,cluster5
371,8.189758,0,-8.189758,-8.189758,2.274933,2,cluster5
372,95.39639,80.4609,-2.489248,-8.18613,176.65051,7,cluster0
373,69.299995,12.599999,-5.154545,-8.100003,149.249995,12,cluster0
374,65.7,35.1,-4.371429,-8.100003,116.749998,8,cluster0
375,57.6,0,-4.114286,-8.100003,120.999996,15,cluster0
376,63,51.3,-3.9,-8.100003,62.999999,4,cluster0
377,40.5,25.199999,-7.650001,-8.100002,27.249999,3,cluster1
378,43.199997,27.9,-5.099999,-8.100002,39.999998,4,cluster6
379,34.200001,21.599998,-3.150001,-8.100002,35.499999,5,cluster6
380,47.699997,26.099998,-4.32,-8.100002,64.249997,6,cluster6
381,42.3,27,-4.275,-8.100002,39.499999,5,cluster6
382,40.5,20.699999,-3.96,-8.100002,46.249999,6,cluster6
383,57.6,29.699999,-3.4875,-8.100002,115.749997,9,cluster0
384,46.8,15.299999,-2.863636,-8.100002,100.499999,12,cluster0
385,65.7,31.5,-2.85,-8.100002,166.999998,13,cluster0
386,48.6,15.299999,-2.775,-8.100002,126.749998,13,cluster0
387,55.8,21.599998,-2.442857,-8.100002,169.249997,15,cluster0
388,24.3,16.199999,-8.100001,-8.100001,11.25,2,cluster1
389,24.3,12.599999,-5.850001,-8.100001,14.749999,3,cluster6
390,43.199997,0,-5.4,-8.100001,55.749998,9,cluster6
391,63.899998,0,-4.915384,-8.100001,133.749998,14,cluster0
392,58.5,9.9,-4.86,-8.100001,110.249999,11,cluster0
393,40.5,0,-4.5,-8.100001,55.75,10,cluster6
394,63,0,-4.5,-8.100001,142.249996,15,cluster0
395,28.8,19.8,-4.5,-8.100001,19.25,3,cluster6
396,39.6,9,-4.371429,-8.100001,61.749999,8,cluster6
397,39.6,27,-4.2,-8.100001,37.25,4,cluster6
398,33.3,0,-4.1625,-8.100001,36.499999,9,cluster6
399,64.799995,5.4,-3.7125,-8.100001,183.249994,17,cluster0
400,44.1,0.9,-3.6,-8.100001,68.999998,13,cluster6
401,29.699999,6.3,-3.342857,-8.100001,37.499999,8,cluster6
402,32.399998,0,-2.7,-8.100001,67.249998,13,cluster6
403,21.599998,0,-4.32,-8.1,12.499999,6,cluster5
404,33.299999,25.199999,-8.1,-8.1,16.249999,2,cluster1
405,42.299999,11.7,-5.1,-8.1,52.25,7,cluster6
406,60.299999,0,-5.025,-8.1,100.749998,13,cluster0
407,53.099998,0,-4.827273,-8.1,71.499997,12,cluster0
408,33.299999,19.799999,-4.5,-8.1,30.749999,4,cluster6
409,36.899998,0,-4.1,-8.1,51.249998,10,cluster6
410,56.699997,0,-4.05,-8.1,135.249995,15,cluster0
411,22.5,10.799999,-3.9,-8.1,16.5,4,cluster5
412,62.099998,4.5,-3.6,-8.1,144.999996,17,cluster0
413,47.699997,14.4,-3.027272,-8.1,112.999997,12,cluster0
414,24.3,0,-4.86,-8.1,18.5,6,cluster6
415,9,0,-4.5,-8.1,2.75,3,cluster5
416,88.2,80.1,-8.1,-8.1,46.75,2,cluster0
417,65.7,57.6,-8.1,-8.1,34.25,2,cluster0
