@relation weka_TrainingData_driverHabit_jee_df_clustered

@attribute Instance_number numeric
@attribute 56.270603 numeric
@attribute 0 numeric
@attribute -28.1353015 numeric
@attribute -46.072006 numeric
@attribute 28.4285025 numeric
@attribute 3 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
135,6.305367,0,-3.152684,-5.952063,3.404842,3,cluster1
136,54.09994,34.051228,-2.004871,-5.897713,132.375306,11,cluster2
137,75.70459,69.82269,-5.8819,-5.8819,40.424244,2,cluster2
138,96.87898,88.7812,-4.04889,-5.87498,76.851161,3,cluster2
139,86.700066,74.59481,-3.026314,-5.84979,114.964177,5,cluster2
140,102.56315,96.748146,-5.815004,-5.815004,55.364249,2,cluster2
141,29.622734,11.361727,-0.961106,-5.80707,87.985419,20,cluster2
142,57.442947,45.51127,-2.982919,-5.795325,73.955273,5,cluster2
143,5.792157,0,-5.792157,-5.792157,1.608932,2,cluster1
144,47.724255,40.435593,-1.822166,-5.783214,63.331622,5,cluster2
145,53.82938,47.943142,-2.943119,-5.770206,41.619916,3,cluster2
146,38.41053,26.553387,-2.964286,-5.740813,42.521422,5,cluster2
147,39.23283,27.393776,-2.592028,-5.723366,35.8455,8,cluster2
148,64.70665,56.462463,-2.748062,-5.703495,67.892338,4,cluster2
149,54.731552,41.868977,-1.837511,-5.606946,106.196536,8,cluster2
150,60.268906,52.38696,-3.940973,-5.554206,47.388064,3,cluster2
151,56.241543,50.625267,-1.872092,-5.54422,57.845241,4,cluster2
152,39.176918,33.642807,-5.534111,-5.534111,20.227701,2,cluster2
153,55.864937,49.79337,-3.035783,-5.507816,44.71097,3,cluster2
154,6.622002,0,-3.311001,-5.470356,2.159347,3,cluster1
155,42.500668,29.398294,-1.871768,-5.451447,82.824761,8,cluster2
156,5.4,0.03,-5.37,-5.37,1.508333,2,cluster2
157,36.702435,28.433714,-2.75624,-5.342694,35.206103,4,cluster2
158,5.336848,0,-5.336848,-5.336848,1.482458,2,cluster1
159,111.305916,102.87427,-2.810549,-5.33413,118.816043,4,cluster2
160,48.699932,41.22482,-2.491704,-5.318607,50.951105,4,cluster2
161,53.866344,48.56912,-5.297224,-5.297224,28.454296,2,cluster2
162,47.699997,41.499999,-3.099999,-5.269998,37.769443,3,cluster2
163,38.52554,30.352312,-2.043307,-5.20333,47.644009,5,cluster2
164,41.140001,35.950001,-5.19,-5.19,21.413889,2,cluster2
165,16.609575,4.006558,-3.150754,-5.16467,15.927308,5,cluster2
166,57.339997,51.539998,-2.899999,-5.159998,45.994442,3,cluster2
167,100.24822,95.113884,-5.134336,-5.134336,54.267251,2,cluster2
168,37.573353,32.3911,-2.591127,-5.070967,29.8407,3,cluster2
169,5.067284,0,-5.067284,-5.067284,1.407579,2,cluster1
170,119.92257,110.46389,-4.72934,-5.01064,96.072497,3,cluster2
171,81.193924,62.62995,-1.856397,-4.990224,214.807926,11,cluster2
172,100.47016,86.018166,-3.612998,-4.98842,129.983813,5,cluster2
173,43.535522,26.095467,-2.906676,-4.977464,65.012342,7,cluster2
174,44.287132,31.206713,-2.616084,-4.973025,62.417173,6,cluster2
175,91.99248,82.85119,-4.570645,-4.96197,72.742828,3,cluster2
