@relation weka_test_park

@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric

@data
54,5.4,-6.942857,-9.900001,59.5,8,19.84375
45.899998,0,-5.1,-9.900001,59.999998,10,17.638889
28.8,0,-7.2,-9.9,18.75,5,7.650602
30.599998,10.799999,-6.6,-9.9,22.249999,4,11.759259
10.799999,0,-5.399999,-9.9,5.75,3,15.487805
63.9,0,-4.915385,-9.9,119.75,14,8.355263
44.1,11.7,-4.628571,-9.9,62.249999,8,13.804348
45,6.3,-3.87,-9.9,79.249999,11,23.518519
32.399998,0,-3.6,-9.9,36.749999,10,27.608696
63.899998,7.2,-3.335294,-9.9,201.749998,18,7.383721
44.1,0,-2.94,-9.9,100.749997,16,17.162162
26.099998,0,-3.728571,-9.9,20.499999,8,26.458333
50.399998,0,-4.581818,-9.899999,96.999998,12,7.839506
10.799999,0.9,-9.899999,-9.899999,3.25,2,14.767442
49.5,12.599999,-5.271429,-9.899998,75.249998,8,28.863636
59.399998,41.399998,-4.5,-9.899997,68.499998,5,8.246753
38.7,0,-5.528571,-9.000001,43.249999,8,8.037975
34.2,17.1,-4.275,-9.000001,31.999999,5,16.282051
56.699997,17.1,-2.413636,-9.000001,241.999994,23,7.559524
27.9,0,-3.1,-9,46.749999,10,12.211538
50.399998,9.9,-6.75,-9,62.249999,7,15.875
54,42.3,-5.85,-9,39.25,3,9.769231
18,7.2,-5.4,-9,9.5,3,9.338235
60.3,0,-5.025,-9,137.749997,13,8.246753
44.099998,0,-4.9,-9,59.999997,10,9.202899
63,0,-4.5,-9,163.999998,15,33.421053
24.3,2.7,-4.32,-9,24.5,6,35.277778
51.3,0,-4.275,-9,92.499998,13,18.142857
20.7,0,-4.14,-9,21,6,11.545455
42.3,9.9,-4.05,-9,68.749999,9,22.678571
62.099998,2.7,-3.96,-9,162.749996,16,17.638889
45.899998,2.7,-3.6,-9,101.999996,13,8.581081
27.9,0,-3.4875,-9,26.999999,9,15.119048
61.199997,32.399998,-3.2,-9,138.999997,10,16.282051
70.199997,38.700001,-2.863636,-9,191.249996,12,19.242424
23.4,7.2,-2.7,-9,28.499999,7,21.166667
63.899998,0,-6.39,-9,103.499998,11,14.431818
25.199999,6.3,-2.3625,-8.999999,48.999999,9,12.45098
35.1,0,-5.85,-8.999999,31,7,25.4
21.599998,11.7,-4.949999,-8.999999,14.999999,3,14.111111
63,0,-4.2,-8.999999,153.999999,16,12.211538
26.099998,17.1,-8.999998,-8.999998,11.999999,2,18.676471
40.5,24.3,-4.05,-8.999998,42.999999,5,26.458333
43.199997,27.9,-5.099999,-8.100002,39.999998,4,8.355263
56.699997,32.399998,-4.86,-8.100002,79.249999,6,30.238095
40.5,20.699999,-3.96,-8.100002,46.249999,6,7.9375
48.6,15.299999,-2.775,-8.100002,126.749998,13,17.162162
43.199997,0,-5.4,-8.100001,55.749998,9,13.229167
58.5,9.9,-4.86,-8.100001,110.249999,11,8.141026
35.1,16.199999,-3.78,-8.100001,42.249999,6,9.921875
40.5,19.8,-3.45,-8.100001,59.499999,7,21.896552
19.8,5.4,-7.2,-8.1,10.75,3,10.241935
43.246849,20.124611,-4.624448,-6.960579,51.657108,6,20.483871
81,35.1,-2.412,-6.300005,364.249993,26,31.75
67.5,51.299999,-4.05,-6.300003,80.999999,5,8.466667
45.899998,0,-3.825,-6.300003,90.249997,13,9.769231
