@relation weka_test_jee_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
123,70.516235,27.994898,-2.657584,-9.019532,234.430974,17,16.282051,cluster0
124,20.97437,0.184531,-2.59873,-9.008992,15.022803,9,19.242424,cluster1
125,31.87206,17.890015,-6.991022,-8.995222,21.29092,3,21.166667,cluster3
126,90.82882,70.46944,-3.39323,-8.684334,164.881582,7,14.431818,cluster4
127,48.911915,28.106209,-3.467618,-8.647331,79.498612,7,12.45098,cluster3
128,8.646634,0,-8.646634,-8.646634,2.401843,2,25.4,cluster2
129,8.496374,0,-8.496374,-8.496374,2.360104,2,14.111111,cluster2
130,43.288837,27.66105,-2.604631,-8.305121,73.384531,7,12.211538,cluster3
131,39.86469,28.752266,-5.556212,-8.285905,27.83215,3,18.676471,cluster3
132,8.273135,0,-8.273135,-8.273135,2.298093,2,26.458333,cluster2
133,55.169468,15.612954,-3.955651,-8.191325,120.686112,11,8.355263,cluster0
134,8.189758,0,-8.189758,-8.189758,2.274933,2,30.238095,cluster2
135,95.39639,80.4609,-2.489248,-8.18613,176.65051,7,7.9375,cluster4
136,44.17649,32.162544,-2.402789,-8.144455,64.7549,6,8.943662,cluster3
137,13.09339,0,-6.546695,-8.053384,5.874104,3,7.743902,cluster2
138,8.029725,0,-8.029725,-8.029725,2.230479,2,28.863636,cluster2
139,52.315376,44.287132,-8.028244,-8.028244,26.83403,2,8.037975,cluster3
140,99.35238,90.34786,-3.001507,-8.021585,105.609107,4,10.409836,cluster4
141,12.599999,1.8,-3.6,-7.91,9.427777,4,7.839506,cluster1
142,45.190277,5.444397,-3.974588,-7.863897,67.983227,11,19.84375,cluster0
143,28.845318,13.345288,-3.100006,-7.857321,35.368839,6,10.948276,cluster3
144,34.80718,18.46547,-4.085427,-7.85397,36.973856,5,23.518519,cluster3
145,7.799398,0,-7.799398,-7.799398,2.166499,2,10.583333,cluster2
146,114.05559,106.40858,-7.64701,-7.64701,61.240047,2,7.559524,cluster4
147,7.611363,0,-7.611363,-7.611363,2.114267,2,15.875,cluster2
148,35.099998,24.179999,-2.73,-7.539998,38.202777,5,15.487805,cluster3
149,60.37998,0,-6.037998,-7.50939,46.513305,11,10.079365,cluster5
150,86.26415,77.51687,-4.37364,-7.50564,67.372092,3,14.767442,cluster4
151,48.989513,28.720852,-2.895523,-7.486462,88.9568,8,11.759259,cluster0
152,110.257645,95.66819,-4.863152,-7.4812,115.971963,4,8.69863,cluster4
153,45.199814,25.789036,-1.493137,-7.46125,154.072944,14,9.621212,cluster0
154,81.1344,35.845646,-2.830547,-7.457497,306.168701,17,9.477612,cluster0
155,91.27892,79.4723,-3.93554,-7.45696,96.353189,4,12.959184,cluster4
156,114.59994,93.05391,-2.693254,-7.446045,263.222472,9,7.383721,cluster4
157,43.88059,31.469433,-2.482231,-7.41864,66.944971,6,11.339286,cluster3
158,86.32591,76.75977,-4.78307,-7.41654,68.683886,3,16.710526,cluster4
159,9.319723,0,-2.329931,-7.404987,9.030797,5,10.762712,cluster2
160,39.222275,31.87206,-7.350215,-7.350215,19.748426,2,13.804348,cluster3
161,36.79445,0,-3.066204,-7.330852,74.124704,13,9.071429,cluster5
162,43.88166,24.326036,-3.911125,-7.321507,61.692456,6,17.162162,cluster3
163,36.899998,29.609999,-7.289999,-7.289999,18.474999,2,13.229167,cluster3
164,68.00324,34.73986,-2.771948,-7.26638,191.220003,13,8.141026,cluster0
165,101.109085,88.454865,-2.530844,-7.201614,159.631882,6,9.921875,cluster4
166,53.09315,36.74773,-4.086355,-7.147622,65.379009,5,21.896552,cluster3
167,23.244318,5.200413,-4.510976,-7.139166,18.592266,5,10.241935,cluster1
168,105.48873,94.36424,-5.562245,-7.13106,82.836289,3,20.483871,cluster4
169,51.132813,42.66527,-1.693509,-7.107714,81.659743,6,31.75,cluster3
170,33.423145,19.466623,-3.48913,-7.09598,38.32038,5,8.466667,cluster3
171,6.994769,0,-6.994769,-6.994769,1.942991,2,9.769231,cluster2
172,6.97972,0,-6.97972,-6.97972,1.938811,2,11.981132,cluster2
173,34.18468,0,-2.441763,-6.872414,74.512081,15,11.140351,cluster5
174,65.55063,31.735727,-3.38149,-6.849384,162.261364,11,27.608696,cluster0
175,33.61112,18.539019,-1.674678,-6.841185,66.926779,10,12.7,cluster0
176,45.352074,18.955126,-2.932994,-6.840002,99.986004,10,7.470588,cluster0
177,49.976513,0,-3.331768,-6.818034,113.817668,16,8.819444,cluster5
178,6.815397,0,-6.815397,-6.815397,1.893166,2,7.650602,cluster2
179,62.01293,0,-3.647819,-6.813944,169.35956,18,24.423077,cluster5
180,35.614735,28.80399,-6.810745,-6.810745,17.89409,2,13.510638,cluster3
181,6.786606,0,-6.786606,-6.786606,1.885168,2,33.421053,cluster2
182,47.259999,40.5,-6.759999,-6.759999,24.377778,2,16.710526,cluster3
183,107.59379,100.24881,-2.448327,-6.758135,113.595102,4,15.875,cluster4
184,39.542606,0,-3.594782,-6.752677,68.506288,12,9.621212,cluster5
185,56.864082,50.137188,-6.726894,-6.726894,29.722575,2,8.466667,cluster3
186,7.038388,0.32368,-6.714708,-6.714708,2.045019,2,8.246753,cluster1
187,24.709999,18,-6.709999,-6.709999,11.863889,2,10.762712,cluster3
188,69.75125,62.8968,-3.427225,-6.708005,56.181349,3,11.339286,cluster3
189,8.474238,0,-1.210605,-6.659931,14.645409,8,8.819444,cluster2
190,10.674904,0,-5.337452,-6.623993,4.090504,3,12.45098,cluster2
191,45.895836,31.43541,-2.892085,-6.587546,64.766229,6,11.759259,cluster3
192,51.493786,25.695087,-1.984515,-6.57654,142.119669,14,7.559524,cluster0
193,35.48325,22.938274,-2.508995,-6.570849,45.032816,6,12.959184,cluster3
194,52.683212,36.742924,-2.656715,-6.56833,87.751249,7,9.071429,cluster3
195,7.321061,0,-1.464212,-6.553156,9.710562,6,10.241935,cluster2
196,66.34406,33.80161,-3.615828,-6.546448,149.855444,10,7.470588,cluster0
197,9.336106,0,-4.668053,-6.490692,3.383756,3,13.510638,cluster2
198,63.92877,39.00176,-2.077251,-6.459027,194.833099,13,15.119048,cluster0
199,97.64587,86.32591,-5.65998,-6.443545,76.872565,3,8.037975,cluster4
