@relation weka_habit_test_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
125,16.199999,0,-5.4,-11.699999,6.25,4,5.369102,cluster2
126,43.199997,0,-5.4,-9.9,54.499999,9,19.84375,cluster5
127,59.399998,27,-5.4,-12.600002,87.499997,7,16.917026,cluster3
128,26.099998,4.5,-5.399999,-8.1,19.249999,5,13.804348,cluster1
129,20.699999,9.9,-5.399999,-9.9,11.499999,3,4.423451,cluster1
130,10.799999,0,-5.399999,-9.9,5.75,3,7.642624,cluster2
131,8.099999,2.7,-5.399999,-5.399999,3,2,13.510638,cluster1
132,50.399998,45,-5.399998,-5.399998,26.499999,2,15.620715,cluster3
133,61.199997,55.8,-5.399997,-5.399997,32.499999,2,10.762712,cluster3
134,53.1,0,-5.31,-7.200002,64.722221,11,5.204068,cluster5
135,42.3,0,-5.2875,-17.1,58.999999,9,8.549767,cluster5
136,46.799999,9.9,-5.271429,-16.199999,71.249997,8,4.875618,cluster3
137,34.2,2.7,-5.25,-11.7,32.749999,7,5.908788,cluster1
138,31.5,0,-5.25,-10.8,29.75,7,9.610522,cluster5
139,52.199997,26.099998,-5.22,-18.900002,75.499998,6,11.140351,cluster3
140,46.8,0,-5.2,-10.800001,63.249999,10,10.845812,cluster5
141,31.5,10.799999,-5.175,-9.9,27.75,5,7.061122,cluster3
142,53.1,11.7,-5.175,-11.7,102.25,9,16.414961,cluster0
143,20.699999,0,-5.175,-6.3,14.749999,5,4.884615,cluster2
144,69.299995,12.599999,-5.154545,-8.100003,149.249995,12,20.05025,cluster0
145,36,0,-5.142857,-9,43.499999,8,9.154529,cluster5
146,51.3,0,-5.13,-9.000001,82.749999,11,8.170885,cluster5
147,27,11.7,-5.1,-8.1,23.5,4,11.545786,cluster3
148,27,11.7,-5.1,-6.3,22,4,6.902174,cluster3
149,45.899998,0,-5.1,-10.800001,66.999999,10,4.177632,cluster5
150,45.899998,0,-5.1,-9.900001,59.999998,10,9.025944,cluster5
151,15.299999,0,-5.1,-12.599999,11.749999,4,3.986262,cluster2
152,49.5,9,-5.0625,-9.9,76.999998,9,14.431818,cluster3
153,27,1.8,-5.04,-8.100001,22.25,6,6.297959,cluster1
154,25.199999,0,-5.04,-6.300001,22.999999,6,3.82477,cluster2
155,60.3,0,-5.025,-7.200001,114.499999,13,6.911057,cluster5
156,54.899998,0,-4.990909,-15.299999,94.499997,12,4.684549,cluster5
157,22.5,12.599999,-4.95,-8.1,13.75,3,7.972416,cluster3
158,36,6.3,-4.95,-8.100001,35.75,7,18.275767,cluster3
159,53.1,23.4,-4.95,-8.1,79.749999,7,3.87702,cluster3
160,49.5,0,-4.95,-9.900001,81.249998,11,3.566288,cluster5
161,18.9,9,-4.95,-5.4,11.75,3,5.825969,cluster1
162,19.8,0,-4.95,-6.299999,13.25,5,9.204339,cluster2
163,56.699997,36.899998,-4.95,-7.199997,62.499998,5,8.246753,cluster3
164,9.9,0,-4.95,-9,5.25,3,12.7,cluster2
165,39.599998,29.699999,-4.95,-5.399998,28.749999,3,27.741606,cluster3
166,86.399994,27,-4.949999,-13.499995,212.499996,13,4.261745,cluster0
167,63.9,0,-4.915385,-9.9,119.75,14,5.474138,cluster5
168,44.099998,0,-4.9,-9,59.999997,10,3.51057,cluster5
169,68.4,0,-4.885714,-9.9,168.749996,15,22.103052,cluster5
170,42.3,18,-4.86,-5.400002,50.249999,6,15.202148,cluster3
171,24.3,0,-4.86,-8.1,18.5,6,5.419234,cluster2
172,56.699997,32.399998,-4.86,-8.100002,79.249999,6,10.054785,cluster3
173,25.199999,0.9,-4.86,-8.099999,20.249999,6,12.45098,cluster1
174,45.899998,7.2,-4.8375,-8.999999,67.749998,9,6.821083,cluster3
175,67.5,0,-4.821429,-9.899998,150.999997,15,5.990566,cluster5
176,14.4,0,-4.8,-5.4,7.75,4,5.039683,cluster2
177,57.6,0,-4.8,-7.200002,94.999997,13,6.614583,cluster5
178,14.4,0,-4.8,-8.999999,7.5,4,24.629577,cluster2
179,20.699999,6.3,-4.8,-10.8,14.5,4,8.599577,cluster1
180,50.399998,36,-4.799999,-5.399998,47.749999,4,5.42735,cluster3
181,73.799995,59.399998,-4.799999,-9.899998,71.999997,4,16.793626,cluster3
